XXX STAT_COINS;                      Печеньги;                            Cookiens;
XXX STAT_CURSE;                          Проклятие;                                         Curse;
XXX STAT_HP;                             Здоровье;          Health;
XXX STAT_REGEN;                          Регенерация;                  Regeneration;
STAT_LIFE_STEAL;                     Вампиризм;                        Life Steal;
STAT_DAMAGE;                         Урон;                                              Damage;
STAT_DAMAGE_MELEE;                   Рукопашный Урон;                                   Melee Damage;
STAT_DAMAGE_RANGED;                  Дальний Урон;                                      Ranged Damage;
STAT_DAMAGE_ELEMENTAL;               Природный Урон;                                    Elemental Damage;
STAT_ATTACK_SPEED;                   Ловкость/Скорость Атаки;                           Attack Speed . Agility . Dexterity;
STAT_CRIT_CHANCE;                    Шанс Крита/Меткость;                               Crit Chance . TODO;
STAT_ENGINEERING;                    Ремесло;                                           Engineering . TODO;
STAT_RANGE;                          Дальность . досягаемость;                          Range;
XXX STAT_ARMOR;                          Защита;                                     Defense;
STAT_DODGE;                          Уклонение/;                                        Dodge;
STAT_SPEED;                          Скорость . прыткость;                              Speed;
STAT_LUCK;                           Удача . везение;                                   Luck;
STAT_HARVESTING;                     Сбор/Инвестиции;                                   Harvesting . investments;
STAT_CONSUMABLE_HEAL;                Лечение Яблоками;                                  Apples Healing;
STAT_COINS_HEAL;                     Лечение Монетами . Лечение Печеньгами;             Coins Healing . Cookiens Healing;
STAT_XP_GAIN;                        Получение Опыта/Обучаемость;                       XP Gain;
STAT_PICKUP_RANGE;                   Радиус Подбора . магнетизм;                        Pickup Range;
STAT_ITEMS_PRICE;                    Цена Товаров . скидка;                             Item Prices;
STAT_EXPLOSION_DAMAGE;               Взрывной Урон;                                     Explosive Damage;
STAT_EXPLOSION_SIZE;                 Размер Взрывов;                                    Explosion Size;
STAT_BOUNCES;                        Отскоки;                                           Bounces;
STAT_PIERCING;                       Прострел;                                          Piercing;
STAT_PIERCING_DAMAGE;                Урон Прострела;                                    Piercing Damage;
STAT_DAMAGE_AGAINST_BOSSES;          Урон По Боссу;                                     Damage Against Bosses;
STAT_STRUCTURE_ATTACK_SPEED;         Скорость Атаки Структур;                           Structure Attack Speed;
STAT_STRUCTURE_RANGE;                Дальность Структур;                                Structure Range;
STAT_BURNING_SPEED;                  Скорость Горения;                                  Burning Speed;
STAT_BURNING_SPREAD;                 Распространение Горения;                           Burning Spread;
STAT_KNOCKBACK;                      Отбрасывание;                                      Knockback;
STAT_DOUBLE_MATERIAL_CHANCE;         Удвоение Монет . Удвоение Печенег;                 Double Coins . Double Cookiens;
STAT_FREE_REROLLS;                   Бесплатные Перебрасывания;                         Free Rerolls;
STAT_TREES;                          Деревья;                                           Trees;
STAT_ENEMIES;                        Враги;                                             Enemies;
STAT_ENEMY_SPEED;                    Скорость Врагов;                                   Enemy Speed;
STAT_REROLL_PRICE;                   Цена Перебрасывания . скидка Перебрасывания;       Reroll Price;
STAT_TURRELS_COUNT;                  Туррели;                                           Turrels;
STAT_LANDMINES;                      Частота спавна мин;                                Landmines;
STAT_GARDENS_COUNT;                  Сады;                                              Gardens;
STAT_ENEMY_HP_SCALE;                 Здоровье Врагов;                                   Enemy Health;
